,year,month,n_jams,bt,"ES(0.5, 0.4)"
2015-01,2015,01,8095,-770,8095
2015-02,2015,02,7325,-770.0,7325.0
2015-03,2015,03,10172,-46.6,8363.5
2015-04,2015,04,9598,209.62,8957.45
2015-05,2015,05,8608,97.806,8887.535
2015-06,2015,06,10218,344.338,9601.67
2015-07,2015,07,5080,-628.864,7513.004
2015-08,2015,08,4570,-1091.692,5727.07
2015-09,2015,09,10751,131.432,7693.189
2015-10,2015,10,12661,1098.708,10242.811
2015-11,2015,11,15565,1943.404,13453.259
2015-12,2015,12,10572,978.472,12984.332
2016-01,2016,01,9100,5.911,11531.402
2016-02,2016,02,8534,-594.752,10035.656
2016-03,2016,03,10933,-296.333,10186.952
2016-04,2016,04,12516,228.743,11203.31
2016-05,2016,05,12558,453.933,11995.027
2016-06,2016,06,11645,293.141,12046.98
2016-07,2016,07,6037,-967.483,9188.56
2016-08,2016,08,4578,-1696.099,6399.539
2016-09,2016,09,12730,-90.787,8716.72
2016-10,2016,10,14657,1115.427,11641.467
2016-11,2016,11,17355,2035.048,15055.947
2016-12,2016,12,10230,662.849,13660.497
2017-01,2017,01,8884,-425.02,11603.673
2017-02,2017,02,9259,-808.951,10218.827
2017-03,2017,03,10882,-514.526,10145.938
2017-04,2017,04,10858,-269.208,10244.706
2017-05,2017,05,11472,30.092,10723.749
2017-06,2017,06,12120,303.324,11436.92
2017-07,2017,07,5802,-884.325,8771.122
2017-08,2017,08,4483,-1565.084,6184.899
2017-09,2017,09,9479,-593.247,7049.407
2017-10,2017,10,11213,358.121,8834.58
2017-11,2017,11,13081,1135.781,11136.85
2017-12,2017,12,9990,679.254,11131.316
2018-01,2018,01,9294,175.94,10552.285
2018-02,2018,02,8047,-360.305,9387.613
2018-03,2018,03,12323,298.834,10675.154
2018-04,2018,04,13019,707.836,11996.494
2018-05,2018,05,14194,1005.77,13449.165
2018-06,2018,06,11291,372.983,12872.968
2018-07,2018,07,7634,-749.407,10439.975
2018-08,2018,08,4432,-1801.121,7061.284
2018-09,2018,09,11776,-497.953,8518.082
2018-10,2018,10,17441,1386.221,12730.564
2018-11,2018,11,13964,1355.664,14040.393
2018-12,2018,12,10312,338.853,12854.028
2019-01,2019,01,10359,-227.924,11775.94
2019-02,2019,02,10506,-436.327,11027.008
2019-03,2019,03,12533,-47.863,11561.841
2019-04,2019,04,17231,1095.541,14372.489
2019-05,2019,05,14118,825.535,14793.015
2019-06,2019,06,14570,615.825,15094.275
2019-07,2019,07,10153,-495.595,12931.55
2019-08,2019,08,5665,-1849.786,9050.478
2019-09,2019,09,13404,-609.124,10302.346
2019-10,2019,10,23430,2138.231,16561.611
2019-11,2019,11,19188,2235.863,18943.921
2019-12,2019,12,12608,521.506,16893.892
