,year,month,n_jams,ES(0.5)
2015-01,2015,01,8095,8095
2015-02,2015,02,7325,7710.0
2015-03,2015,03,10172,8941.0
2015-04,2015,04,9598,9269.5
2015-05,2015,05,8608,8938.75
2015-06,2015,06,10218,9578.375
2015-07,2015,07,5080,7329.188
2015-08,2015,08,4570,5949.594
2015-09,2015,09,10751,8350.297
2015-10,2015,10,12661,10505.648
2015-11,2015,11,15565,13035.324
2015-12,2015,12,10572,11803.662
2016-01,2016,01,9100,10451.831
2016-02,2016,02,8534,9492.916
2016-03,2016,03,10933,10212.958
2016-04,2016,04,12516,11364.479
2016-05,2016,05,12558,11961.239
2016-06,2016,06,11645,11803.12
2016-07,2016,07,6037,8920.06
2016-08,2016,08,4578,6749.03
2016-09,2016,09,12730,9739.515
2016-10,2016,10,14657,12198.257
2016-11,2016,11,17355,14776.629
2016-12,2016,12,10230,12503.314
2017-01,2017,01,8884,10693.657
2017-02,2017,02,9259,9976.329
2017-03,2017,03,10882,10429.164
2017-04,2017,04,10858,10643.582
2017-05,2017,05,11472,11057.791
2017-06,2017,06,12120,11588.896
2017-07,2017,07,5802,8695.448
2017-08,2017,08,4483,6589.224
2017-09,2017,09,9479,8034.112
2017-10,2017,10,11213,9623.556
2017-11,2017,11,13081,11352.278
2017-12,2017,12,9990,10671.139
2018-01,2018,01,9294,9982.569
2018-02,2018,02,8047,9014.785
2018-03,2018,03,12323,10668.892
2018-04,2018,04,13019,11843.946
2018-05,2018,05,14194,13018.973
2018-06,2018,06,11291,12154.987
2018-07,2018,07,7634,9894.493
2018-08,2018,08,4432,7163.247
2018-09,2018,09,11776,9469.623
2018-10,2018,10,17441,13455.312
2018-11,2018,11,13964,13709.656
2018-12,2018,12,10312,12010.828
2019-01,2019,01,10359,11184.914
2019-02,2019,02,10506,10845.457
2019-03,2019,03,12533,11689.228
2019-04,2019,04,17231,14460.114
2019-05,2019,05,14118,14289.057
2019-06,2019,06,14570,14429.529
2019-07,2019,07,10153,12291.264
2019-08,2019,08,5665,8978.132
2019-09,2019,09,13404,11191.066
2019-10,2019,10,23430,17310.533
2019-11,2019,11,19188,18249.267
2019-12,2019,12,12608,15428.633
