,year,month,n_jams,MA(2) intermediate,MA(2),Error,Error squared
2015-01,2015,01,8095,,,,
2015-02,2015,02,7325,7710.0,,,
2015-03,2015,03,10172,8748.5,8229.25,-1942.75,3774277.5625
2015-04,2015,04,9598,9885.0,9316.75,-281.25,79101.5625
2015-05,2015,05,8608,9103.0,9494.0,886.0,784996.0
2015-06,2015,06,10218,9413.0,9258.0,-960.0,921600.0
2015-07,2015,07,5080,7649.0,8531.0,3451.0,11909401.0
2015-08,2015,08,4570,4825.0,6237.0,1667.0,2778889.0
2015-09,2015,09,10751,7660.5,6242.75,-4508.25,20324318.0625
2015-10,2015,10,12661,11706.0,9683.25,-2977.75,8866995.0625
2015-11,2015,11,15565,14113.0,12909.5,-2655.5,7051680.25
2015-12,2015,12,10572,13068.5,13590.75,3018.75,9112851.5625
2016-01,2016,01,9100,9836.0,11452.25,2352.25,5533080.0625
2016-02,2016,02,8534,8817.0,9326.5,792.5,628056.25
2016-03,2016,03,10933,9733.5,9275.25,-1657.75,2748135.0625
2016-04,2016,04,12516,11724.5,10729.0,-1787.0,3193369.0
2016-05,2016,05,12558,12537.0,12130.75,-427.25,182542.5625
2016-06,2016,06,11645,12101.5,12319.25,674.25,454613.0625
2016-07,2016,07,6037,8841.0,10471.25,4434.25,19662573.0625
2016-08,2016,08,4578,5307.5,7074.25,2496.25,6231264.0625
2016-09,2016,09,12730,8654.0,6980.75,-5749.25,33053875.5625
2016-10,2016,10,14657,13693.5,11173.75,-3483.25,12133030.5625
2016-11,2016,11,17355,16006.0,14849.75,-2505.25,6276277.5625
2016-12,2016,12,10230,13792.5,14899.25,4669.25,21801895.5625
2017-01,2017,01,8884,9557.0,11674.75,2790.75,7788285.5625
2017-02,2017,02,9259,9071.5,9314.25,55.25,3052.5625
2017-03,2017,03,10882,10070.5,9571.0,-1311.0,1718721.0
2017-04,2017,04,10858,10870.0,10470.25,-387.75,150350.0625
2017-05,2017,05,11472,11165.0,11017.5,-454.5,206570.25
2017-06,2017,06,12120,11796.0,11480.5,-639.5,408960.25
2017-07,2017,07,5802,8961.0,10378.5,4576.5,20944352.25
2017-08,2017,08,4483,5142.5,7051.75,2568.75,6598476.5625
2017-09,2017,09,9479,6981.0,6061.75,-3417.25,11677597.5625
2017-10,2017,10,11213,10346.0,8663.5,-2549.5,6499950.25
2017-11,2017,11,13081,12147.0,11246.5,-1834.5,3365390.25
2017-12,2017,12,9990,11535.5,11841.25,1851.25,3427126.5625
2018-01,2018,01,9294,9642.0,10588.75,1294.75,1676377.5625
2018-02,2018,02,8047,8670.5,9156.25,1109.25,1230435.5625
2018-03,2018,03,12323,10185.0,9427.75,-2895.25,8382472.5625
2018-04,2018,04,13019,12671.0,11428.0,-1591.0,2531281.0
2018-05,2018,05,14194,13606.5,13138.75,-1055.25,1113552.5625
2018-06,2018,06,11291,12742.5,13174.5,1883.5,3547572.25
2018-07,2018,07,7634,9462.5,11102.5,3468.5,12030492.25
2018-08,2018,08,4432,6033.0,7747.75,3315.75,10994198.0625
2018-09,2018,09,11776,8104.0,7068.5,-4707.5,22160556.25
2018-10,2018,10,17441,14608.5,11356.25,-6084.75,37024182.5625
2018-11,2018,11,13964,15702.5,15155.5,1191.5,1419672.25
2018-12,2018,12,10312,12138.0,13920.25,3608.25,13019468.0625
2019-01,2019,01,10359,10335.5,11236.75,877.75,770445.0625
2019-02,2019,02,10506,10432.5,10384.0,-122.0,14884.0
2019-03,2019,03,12533,11519.5,10976.0,-1557.0,2424249.0
2019-04,2019,04,17231,14882.0,13200.75,-4030.25,16242915.0625
2019-05,2019,05,14118,15674.5,15278.25,1160.25,1346180.0625
2019-06,2019,06,14570,14344.0,15009.25,439.25,192940.5625
2019-07,2019,07,10153,12361.5,13352.75,3199.75,10238400.0625
2019-08,2019,08,5665,7909.0,10135.25,4470.25,19983135.0625
2019-09,2019,09,13404,9534.5,8721.75,-4682.25,21923465.0625
2019-10,2019,10,23430,18417.0,13975.75,-9454.25,89382843.0625
2019-11,2019,11,19188,21309.0,19863.0,675.0,455625.0
2019-12,2019,12,12608,15898.0,18603.5,5995.5,35946020.25
