,year,month,n_jams,MA(3),Error,Error squared
2015-01,2015,01,8095,,,
2015-02,2015,02,7325,8530.666666666666,1205.666666666666,1453632.1111111096
2015-03,2015,03,10172,9031.666666666666,-1140.333333333334,1300360.1111111124
2015-04,2015,04,9598,9459.333333333334,-138.66666666666606,19228.444444444278
2015-05,2015,05,8608,9474.666666666666,866.6666666666661,751111.1111111101
2015-06,2015,06,10218,7968.666666666667,-2249.333333333333,5059500.444444443
2015-07,2015,07,5080,6622.666666666667,1542.666666666667,2379820.4444444454
2015-08,2015,08,4570,6800.333333333333,2230.333333333333,4974386.777777776
2015-09,2015,09,10751,9327.333333333334,-1423.666666666666,2026826.7777777761
2015-10,2015,10,12661,12992.333333333334,331.33333333333394,109781.77777777817
2015-11,2015,11,15565,12932.666666666666,-2632.333333333334,6929178.777777781
2015-12,2015,12,10572,11745.666666666666,1173.666666666666,1377493.444444443
2016-01,2016,01,9100,9402.0,302.0,91204.0
2016-02,2016,02,8534,9522.333333333334,988.3333333333339,976802.777777779
2016-03,2016,03,10933,10661.0,-272.0,73984.0
2016-04,2016,04,12516,12002.333333333334,-513.6666666666661,263853.4444444438
2016-05,2016,05,12558,12239.666666666666,-318.33333333333394,101336.1111111115
2016-06,2016,06,11645,10080.0,-1565.0,2449225.0
2016-07,2016,07,6037,7420.0,1383.0,1912689.0
2016-08,2016,08,4578,7781.666666666667,3203.666666666667,10263480.111111114
2016-09,2016,09,12730,10655.0,-2075.0,4305625.0
2016-10,2016,10,14657,14914.0,257.0,66049.0
2016-11,2016,11,17355,14080.666666666666,-3274.333333333334,10721258.777777782
2016-12,2016,12,10230,12156.333333333334,1926.333333333334,3710760.1111111133
2017-01,2017,01,8884,9457.666666666666,573.6666666666661,329093.44444444374
2017-02,2017,02,9259,9675.0,416.0,173056.0
2017-03,2017,03,10882,10333.0,-549.0,301401.0
2017-04,2017,04,10858,11070.666666666666,212.66666666666606,45227.111111110855
2017-05,2017,05,11472,11483.333333333334,11.33333333333394,128.44444444445818
2017-06,2017,06,12120,9798.0,-2322.0,5391684.0
2017-07,2017,07,5802,7468.333333333333,1666.333333333333,2776666.7777777766
2017-08,2017,08,4483,6588.0,2105.0,4431025.0
2017-09,2017,09,9479,8391.666666666666,-1087.333333333334,1182293.7777777791
2017-10,2017,10,11213,11257.666666666666,44.66666666666606,1995.111111111057
2017-11,2017,11,13081,11428.0,-1653.0,2732409.0
2017-12,2017,12,9990,10788.333333333334,798.3333333333339,637336.111111112
2018-01,2018,01,9294,9110.333333333334,-183.66666666666606,33733.44444444422
2018-02,2018,02,8047,9888.0,1841.0,3389281.0
2018-03,2018,03,12323,11129.666666666666,-1193.333333333334,1424044.444444446
2018-04,2018,04,13019,13178.666666666666,159.66666666666606,25493.444444444252
2018-05,2018,05,14194,12834.666666666666,-1359.333333333334,1847787.1111111129
2018-06,2018,06,11291,11039.666666666666,-251.33333333333394,63168.44444444475
2018-07,2018,07,7634,7785.666666666667,151.66666666666697,23002.77777777787
2018-08,2018,08,4432,7947.333333333333,3515.333333333333,12357568.444444442
2018-09,2018,09,11776,11216.333333333334,-559.6666666666661,313226.7777777771
2018-10,2018,10,17441,14393.666666666666,-3047.333333333334,9286240.444444448
2018-11,2018,11,13964,13905.666666666666,-58.33333333333394,3402.7777777778483
2018-12,2018,12,10312,11545.0,1233.0,1520289.0
2019-01,2019,01,10359,10392.333333333334,33.33333333333394,1111.1111111111516
2019-02,2019,02,10506,11132.666666666666,626.6666666666661,392711.11111111037
2019-03,2019,03,12533,13423.333333333334,890.3333333333339,792693.4444444455
2019-04,2019,04,17231,14627.333333333334,-2603.666666666666,6779080.111111108
2019-05,2019,05,14118,15306.333333333334,1188.333333333334,1412136.1111111126
2019-06,2019,06,14570,12947.0,-1623.0,2634129.0
2019-07,2019,07,10153,10129.333333333334,-23.66666666666606,560.1111111110824
2019-08,2019,08,5665,9740.666666666666,4075.666666666666,16611058.777777772
2019-09,2019,09,13404,14166.333333333334,762.3333333333339,581152.111111112
2019-10,2019,10,23430,18674.0,-4756.0,22619536.0
2019-11,2019,11,19188,18408.666666666668,-779.3333333333321,607360.4444444425
2019-12,2019,12,12608,,,
