,year,month,n_jams
2015-01,2015,01,8095
2015-02,2015,02,7325
2015-03,2015,03,10172
2015-04,2015,04,9598
2015-05,2015,05,8608
2015-06,2015,06,10218
2015-07,2015,07,5080
2015-08,2015,08,4570
2015-09,2015,09,10751
2015-10,2015,10,12661
2015-11,2015,11,15565
2015-12,2015,12,10572
2016-01,2016,01,9100
2016-02,2016,02,8534
2016-03,2016,03,10933
2016-04,2016,04,12516
2016-05,2016,05,12558
2016-06,2016,06,11645
2016-07,2016,07,6037
2016-08,2016,08,4578
2016-09,2016,09,12730
2016-10,2016,10,14657
2016-11,2016,11,17355
2016-12,2016,12,10230
2017-01,2017,01,8884
2017-02,2017,02,9259
2017-03,2017,03,10882
2017-04,2017,04,10858
2017-05,2017,05,11472
2017-06,2017,06,12120
2017-07,2017,07,5802
2017-08,2017,08,4483
2017-09,2017,09,9479
2017-10,2017,10,11213
2017-11,2017,11,13081
2017-12,2017,12,9990
2018-01,2018,01,9294
2018-02,2018,02,8047
2018-03,2018,03,12323
2018-04,2018,04,13019
2018-05,2018,05,14194
2018-06,2018,06,11291
2018-07,2018,07,7634
2018-08,2018,08,4432
2018-09,2018,09,11776
2018-10,2018,10,17441
2018-11,2018,11,13964
2018-12,2018,12,10312
2019-01,2019,01,10359
2019-02,2019,02,10506
2019-03,2019,03,12533
2019-04,2019,04,17231
2019-05,2019,05,14118
2019-06,2019,06,14570
2019-07,2019,07,10153
2019-08,2019,08,5665
2019-09,2019,09,13404
2019-10,2019,10,23430
2019-11,2019,11,19188
2019-12,2019,12,12608
