,year,month,n_jams,bt,ct,"ES(0.5, 0.7, 0.5)"
2015-01,2015,01,8095,122.625,0.969,8095
2015-02,2015,02,7325,36.788,0.926,7325
2015-03,2015,03,10172,11.036,1.205,10172
2015-04,2015,04,9598,3.311,1.34,9598
2015-05,2015,05,8608,0.993,1.292,8608
2015-06,2015,06,10218,0.298,1.269,10218
2015-07,2015,07,5080,0.089,0.736,5080
2015-08,2015,08,4570,0.027,0.503,4570
2015-09,2015,09,10751,0.008,1.232,10751
2015-10,2015,10,12661,0.002,1.683,12661
2015-11,2015,11,15565,0.001,1.678,15565
2015-12,2015,12,10572,0.0,1.139,10572
2016-01,2016,01,9100,-414.847,0.915,9979.361
2016-02,2016,02,8534,-536.012,0.89,9391.421
2016-03,2016,03,10933,-459.825,1.185,8964.249
2016-04,2016,04,12516,-167.801,1.368,8921.601
2016-05,2016,05,12558,170.16,1.35,9236.601
2016-06,2016,06,11645,90.564,1.265,9293.052
2016-07,2016,07,6037,-321.748,0.693,8794.598
2016-08,2016,08,4578,-101.762,0.512,8787.116
2016-09,2016,09,12730,473.413,1.341,9507.033
2016-10,2016,10,14657,27.972,1.612,9344.102
2016-11,2016,11,17355,367.825,1.768,9857.578
2016-12,2016,12,10230,-66.468,1.088,9604.984
2017-01,2017,01,8884,-7.104,0.92,9623.322
2017-02,2017,02,9259,266.5,0.926,10007.08
2017-03,2017,03,10882,-113.994,1.136,9730.018
2017-04,2017,04,10858,-702.043,1.242,8775.954
2017-05,2017,05,11472,-553.304,1.329,8286.396
2017-06,2017,06,12120,94.329,1.364,8658.282
2017-07,2017,07,5802,-37.394,0.681,8564.436
2017-08,2017,08,4483,44.048,0.518,8643.387
2017-09,2017,09,9479,-521.803,1.219,7879.076
2017-10,2017,10,11213,-662.953,1.518,7155.63
2017-11,2017,11,13081,-345.28,1.798,6946.496
2017-12,2017,12,9990,557.399,1.263,7890.758
2018-01,2018,01,9294,1136.217,1.049,9275.039
2018-02,2018,02,8047,532.804,0.897,9549.238
2018-03,2018,03,12323,800.788,1.213,10464.877
2018-04,2018,04,13019,526.394,1.243,10873.673
2018-05,2018,05,14194,275.804,1.317,11042.082
2018-06,2018,06,11291,-787.478,1.193,9798.911
2018-07,2018,07,7634,-20.236,0.73,10107.494
2018-08,2018,08,4432,-553.917,0.478,9324.856
2018-09,2018,09,11776,-241.609,1.241,9217.093
2018-10,2018,10,17441,638.822,1.705,10233.243
2018-11,2018,11,13964,-447.93,1.581,9319.562
2018-12,2018,12,10312,-695.739,1.185,8517.618
2019-01,2019,01,10359,23.131,1.133,8848.837
2019-02,2019,02,10506,1017.501,1.042,10292.496
2019-03,2019,03,12533,674.584,1.215,10820.116
2019-04,2019,04,17231,1503.02,1.418,12678.18
2019-05,2019,05,14118,291.72,1.215,12450.771
2019-06,2019,06,14570,106.007,1.182,12477.187
2019-07,2019,07,10153,568.243,0.772,13243.53
2019-08,2019,08,5665,-118.278,0.453,12831.029
2019-09,2019,09,13404,-786.64,1.143,11757.948
2019-10,2019,10,23430,183.021,1.849,12356.538
2019-11,2019,11,19188,41.427,1.567,12337.282
2019-12,2019,12,12608,-566.701,1.103,11509.955
